"Name of University","Research Score"
"University of Malaya","32.6"
"University of Manitoba","31.2"
"Mazandaran University of Medical Sciences","11.1"
"University of Naples Federico II","28.3"
"University of New Mexico (Main campus)","29.3"
"North Carolina State University","38.2"
"University of Rome II – Tor Vergata","28.8"
"Royal Holloway, University of London","28.4"
"Royal Veterinary College","20.1"
"Rush University","15.3"
"Shoolini University of Biotechnology and Management Sciences","14.4"
"University of Stirling","25.9"
"Swedish University of Agricultural Sciences","31.4"
"University of Texas at Dallas","27"
"Tulane University","23"
"University of Turku","32.6"
"University of Vaasa","25.5"
"Verona University","26"
"Wake Forest University","20.2"
"Washington State University","32.7"
"Wroclaw Medical University","11.7"
"Alagappa University","11"
"University of Alaska Fairbanks","24.9"
"Arak University of Medical Sciences","8.8"
"Aston University","24.9"
"Aswan University","11.6"
"Babol University of Medical Sciences","10.6"
"Babol Noshirvani University of Technology","20.9"
"Bangor University","24.7"
"University of Bayreuth","39.4"
"Brunel University London","26.4"
"University of Campinas","46.7"
"Cankaya University","13.2"
"University of Catania","21.5"
"Claude Bernard University Lyon 1","27.2"
"Colorado School of Mines","30.3"
"Colorado State University, Fort Collins","29.6"
"Complutense University of Madrid","34.7"
"University of Connecticut","29.3"
"University of Crete","26"
"University of Cyprus","23.1"
"University of Denver","24.7"
"Dublin City University","33.8"
"Duy Tan University","12.6"
"Edinburgh Napier University","17"
"University of Electronic Science and Technology of China","31.2"
"Ferhat Abbas Sétif University 1","19.8"
"University of Ferrara","24.7"
"University of Florence","32.4"
"Free University of Bozen-Bolzano","19.4"
"University of Genoa","28.3"
"Georgia State University","26.9"
"Université Grenoble Alpes","35"
"Hanyang University","40.8"
"Hunan University","26.4"
"University of Ibadan","15.7"
"Illinois Institute of Technology","21.8"
"University of Innsbruck","30.1"
"Institut Agro","30.5"
"University of International Business and Economics","15.6"
"Iowa State University","36.9"
"Jazan University","8.5"
"Justus Liebig University Giessen","37.3"
"University of Jyväskylä","33.3"
"University of Kansas","24.4"
"University of Klagenfurt","18.2"
"Koç University","42.3"
